EPE  Warnings List[TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:30 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: not provided
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

WarnInd,WarnID,SeverLvl,Message,File,Line,
   37, 1863,    1, TAP  42530 JONCRK__B345  345  999739 63698         138  A1  Desired voltage range=0.0176 [1.0202:1.0378] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   38, 1863,    1, TAP  42530 JONCRK__B345  345  999738 63699         138  A2  Desired voltage range=0.0176 [1.0202:1.0378] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   39, 1863,    1, TAP  44500 OBRIEN_B345A  345  999734 09NJ930101    138  A3  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   40, 1863,    1, TAP  44500 OBRIEN_B345A  345  999733 111575        138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   41, 1863,    1, TAP  44500 OBRIEN_B345A  345  999732 1ZESS63773    138  A2  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   42, 1863,    1, TAP  44900 ZENITH__B345  345  999731 10PV880101    138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   43, 1863,    1, TAP  44900 ZENITH__B345  345  999730 12R4440102    138  A3  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   44, 1863,    1, TAP  44900 ZENITH__B345  345  999729 15QP000004    138  A2  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   45, 1863,    1, TAP  45500 T_H_W__POI_5  345  999728 111651        138  A3  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   46, 1863,    1, TAP  45500 T_H_W__POI_5  345  999727 4007037       138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   47, 1863,    1, TAP  46100 N_BELT__B345  345  999721 408589        138  A3  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   48, 1863,    1, TAP  46290 RTHWOD__B345  345  999718 8311195       138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   49, 1863,    1, TAP  46290 RTHWOD__B345  345  999717 8311195 _1    138  A2  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   50, 1863,    1, TAP  46500 TOMBAL__B345  345  999716 4020494       138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   51, 1863,    1, TAP  46500 TOMBAL__B345  345  999715 4020495       138  A2  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   52, 1863,    1, TAP  47000 BELAIR__B345  345  999710 14UY970101    138  A4  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   53, 1863,    1, TAP  47000 BELAIR__B345  345  999709 63067         138  A2  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   54, 1863,    1, TAP  47000 BELAIR__B345  345  999708 63202         138  A1  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   55, 1863,    1, TAP  47300 JENETA__B345  345  999705 408491        138  A3  Desired voltage range=0.0174 [1.0203:1.0377] is too small comparing to step=0.0125. Expanded to [1.0196:1.0384],,,
   56, 1863,    1, TAP  47630 GABLE___B138  138  999700 N008023101   69.0  A2  Desired voltage range=0.0174 [1.0058:1.0232] is too small comparing to step=0.0125. Expanded to [1.0051:1.0239],,,
   57, 4040,    1,Subsystem Export                                                                                                                    has total zero participation factor. ,,,
   58, 5702,    1, No participating buses can be scaled for Export                                                                                                                   . Using uniform distr - Found 2 online buses,,,
   59, 1100,    0, Read in  8 records from File [C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub] (Lev=1) ,,,
   60, 3095,    0, Open branch event but branch is already opened [  7046 L_KENDAL5_1Y  345  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26063,
   61, 3095,    0, Open branch event but branch is already opened [  7150 L_KENDAL8_1Y  138  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26064,
   62, 3095,    0, Open branch event but branch is already opened [ 77154 L_KENDAL1_3Y 13.2  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26065,
   63, 3095,    0, Open branch event but branch is already opened [  7046 L_KENDAL5_1Y  345  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26073,
   64, 3095,    0, Open branch event but branch is already opened [  7150 L_KENDAL8_1Y  138  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26074,
   65, 3095,    0, Open branch event but branch is already opened [ 77154 L_KENDAL1_3Y 13.2  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26075,
   66, 3095,    0, Open branch event but branch is already opened [  7046 L_KENDAL5_1Y  345  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26083,
   67, 3095,    0, Open branch event but branch is already opened [  7150 L_KENDAL8_1Y  138  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26084,
   68, 3095,    0, Open branch event but branch is already opened [ 77154 L_KENDAL1_3Y 13.2  999839 KENDAL AT1    138  1  ]  ,C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt,26085,
   69, 1100,    0, Read in  62689 records from File [C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\test.fgt] (Lev=1) ,,,
