Zone summary . Client-EPE
   Created - Fri Jul 21 13:12:30 2023. TARA Ver 2301.2.0.0 64-bit. LFCase-22SSWG_2025_SUM1_U1_04-study.raw. Rev-PTI35
 Zone, ZoneName    ,Buses, NTies,    TotGen, MaxGenOnl, MaxGenOff,   LoadAct,   LoadNom,  Load_DER, LdInDifZone, LdFrDifZone, shuntLoss, TotLosses, ZoneInterTies, ZoneInterExtLd,
 163, O_TAYLOR    ,     1,     3,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      -0.0,      -0.0,
 164, O_SCURRY    ,    46,    39,      14.3,      75.6,      76.8,     289.7,     289.7,       0.0,       0.0,       0.0,       0.0,      16.0,    -291.5,    -291.5,
 165, O_NOLAN     ,    25,    22,       0.4,       2.0,       2.0,      66.5,      66.5,       0.0,       0.0,       0.0,       0.0,       5.3,     -71.4,     -71.4,
 166, O_MITCHELL  ,    25,    29,       0.0,       0.0,       9.1,     391.5,     391.5,       0.0,       0.0,      11.2,       0.0,      12.7,    -393.1,    -404.3,
 167, O_HOWARD    ,   114,    58,       0.0,       0.0,       9.1,    2010.6,    2010.6,       0.0,      52.5,     400.0,       0.0,      49.7,   -1712.9,   -2060.4,
 168, O_MIDLAND   ,   124,    46,       0.0,       0.0,       1.2,    2655.6,    2655.6,       0.0,     102.9,      89.3,       0.0,      31.2,   -2700.3,   -2686.8,
 169, O_ANDREWS   ,    47,    14,       0.0,       0.0,      28.1,     398.1,     398.1,       0.0,       0.0,     103.3,       0.0,       5.0,    -299.8,    -403.1,
 170, O_ECTOR     ,   102,    42,       0.0,       0.0,      28.9,     703.6,     703.6,       0.0,      31.0,       0.0,       0.0,      29.8,    -764.4,    -733.4,
 171, O_WARD      ,    75,    49,       0.0,       0.0,       0.0,     563.7,     563.7,       0.0,      40.5,       0.0,       0.0,      10.8,    -615.0,    -574.5,
 172, O_WINKLER   ,   105,    37,       0.0,       0.0,       9.9,    1264.8,    1264.8,       0.0,      33.4,      35.3,       0.0,      16.9,   -1279.8,   -1281.7,
 177, TEX-LA      ,    32,    27,       0.0,       0.0,       0.0,     210.6,     210.6,       0.0,       0.0,       0.0,       0.0,       0.3,    -210.8,    -210.8,
 178, RAYBURN     ,   122,    94,       0.0,       0.0,       0.0,    1150.6,    1150.6,       0.0,       4.7,       0.0,       0.0,       4.1,   -1159.3,   -1154.6,
 179, GS_GOLDENSPR,    11,    11,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      20.2,       0.0,       0.0,      -0.0,     -20.2,       0.0,
 180, GS_BIGCOUNTR,     0,     0,       0.0,       0.0,       0.0,      46.3,      46.3,       0.0,       0.0,      46.3,       0.0,       0.0,       0.0,     -46.3,
 181, GS_COLEMAN  ,     3,     3,       0.0,       0.0,       0.0,      27.1,      27.1,       0.0,       0.0,      22.4,       0.0,       0.1,      -4.7,     -27.2,
 182, GS_CONCHOVAL,     2,     2,       0.0,       0.0,       0.0,      82.3,      82.3,       0.0,       0.0,      49.1,       0.0,       0.0,     -33.2,     -82.3,
 183, GS_LIGHTHOUS,     0,     0,       0.0,       0.0,       0.0,       4.1,       4.1,       0.0,       0.0,       4.1,       0.0,       0.0,       0.0,      -4.1,
 184, GS_LYNTEGAR ,     4,     1,       0.0,       0.0,       0.0,      43.4,      43.4,       0.0,       0.0,      20.2,       0.0,       0.0,     -23.2,     -43.4,
 185, GS_SWTEXAS  ,     1,     1,       0.0,       0.0,       0.0,      40.1,      40.1,       0.0,       0.0,      36.5,       0.0,       0.0,      -3.7,     -40.1,
 186, GS_TAYLOR   ,     6,     5,       0.0,       0.0,       0.0,      94.9,      94.9,       0.0,       0.0,      72.0,       0.0,       0.0,     -22.9,     -94.9,
 187, Zon_187     ,     9,     8,       0.0,       0.0,       0.0,      49.9,      49.9,       0.0,       0.0,       0.0,       0.0,       0.0,     -49.9,     -49.9,
 199, COCS        ,     7,     6,       0.0,       0.0,     100.0,     212.3,     212.3,       0.0,       0.0,      57.7,       0.0,       0.8,    -155.4,    -213.1,
 200, EHVDC       ,     2,     1,     599.4,     600.0,     600.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       2.6,     596.8,     596.8,
 220, TNP_CLIF    ,    18,     8,       0.0,       0.0,       0.0,      71.7,      71.7,       0.0,       0.0,       0.0,       0.0,       2.5,     -74.2,     -74.2,
 221, TNP_WLSP    ,    12,     5,      12.2,      15.0,      15.0,      51.3,      51.3,       0.0,       0.0,       0.0,       0.0,       0.9,     -40.0,     -40.0,
 222, TNP_VROG    ,     6,     6,       0.0,       0.0,       0.0,      28.8,      28.8,       0.0,       0.0,       0.0,       0.0,       0.2,     -29.0,     -29.0,
 224, TNP_LEW     ,     8,     7,       0.0,       0.0,      12.6,     305.8,     305.8,       0.0,       0.0,       0.0,       0.0,       1.0,    -306.9,    -306.9,
 225, TNP_KTRC    ,    10,     8,       0.0,       0.0,       0.0,      85.7,      85.7,       0.0,       0.0,       8.5,       0.0,       0.3,     -77.5,     -86.0,
 226, TNP_BELS    ,     8,     3,      16.2,      20.0,      20.0,      13.4,      13.4,       0.0,       8.5,       0.0,       0.0,       0.0,      -5.7,       2.8,
 227, TNP_CLMX    ,    11,     6,       0.0,       0.0,       0.0,      73.4,      73.4,       0.0,       0.0,       0.0,       0.0,       0.4,     -73.8,     -73.8,
 229, TNP_PMWK    ,   122,    37,       0.0,       0.0,      59.7,    2658.2,    2658.2,       0.0,       0.0,       0.0,       0.0,      14.7,   -2673.0,   -2673.0,
 230, TNP_TC      ,    73,    19,       0.0,       0.0,      15.9,     984.1,     984.1,       0.0,      48.6,       0.0,       0.0,       8.6,   -1041.3,    -992.7,
 233, TNP_COGN    ,     6,     3,       0.0,       0.0,       0.0,     772.0,     772.0,       0.0,       0.0,     638.6,       0.0,       0.0,    -133.4,    -772.0,
 234, TNP_WC      ,    21,    14,       0.0,       0.0,       0.4,     176.6,     176.6,       0.0,       0.0,       0.0,       0.0,       1.2,    -177.8,    -177.8,
 238, TNP_GEN     ,     1,     6,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       3.2,      -3.2,      -3.2,
 240, TNP_FS      ,    27,    13,       0.0,       0.0,       1.3,     197.5,     197.5,       0.0,       1.5,     130.0,       0.0,       2.4,     -71.4,    -199.8,
 260, CNP_DNTN    ,    11,    11,       0.0,       0.0,       0.0,     264.8,     264.8,       0.0,       0.0,       0.0,       0.0,       0.3,    -265.1,    -265.1,
 261, CNP_INNR    ,    14,    20,       0.0,       0.0,       0.0,     245.2,     245.2,       0.0,     206.8,       0.0,       0.0,       3.8,    -455.8,    -249.0,
 295, CNP_CAPEMUTL,    11,    22,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       1.7,      -1.7,      -1.7,
 301, CNP_INDS    ,   142,   171,       0.0,       0.0,      40.0,    4762.8,    4762.8,       0.0,     148.2,     332.7,       0.0,      27.9,   -4606.2,   -4790.7,
 302, CNP_COGN    ,    35,   123,       0.0,       0.0,       0.0,    1195.2,    1195.2,       0.0,     956.5,     861.6,       0.0,       2.7,   -1292.9,   -1198.0,
 303, CNP_SS      ,     2,     5,       0.0,       0.0,       0.0,     800.0,     800.0,       0.0,       0.0,     800.0,       0.0,       0.0,      -0.0,    -800.0,
 304, CNP_DIST    ,   556,   419,      25.6,      31.6,     388.0,   16207.9,   16207.9,       0.0,      31.6,    1069.5,       0.0,     263.0,  -15407.4,  -16445.3,
 305, CNP_TGN     ,    54,   145,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,     285.1,       0.0,       0.0,      79.3,    -364.4,     -79.3,
 308, CNP_GALV    ,    18,     3,       0.0,       0.0,      13.0,     212.6,     212.6,       0.0,       5.8,       0.0,       0.0,       0.9,    -219.3,    -213.5,
 310, STP         ,     1,    13,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      11.9,     -11.9,     -11.9,
 317, CNP_TERT345 ,    48,    48,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,
 318, CNP_TERTIARY,    12,    12,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,
 319, CNP_LCAP    ,    54,   120,       0.0,       0.0,       3.7,      22.6,      22.6,       0.0,     571.9,      22.6,       0.0,      18.6,    -590.6,     -41.3,
 320, CNPDOWSS    ,     0,     0,       0.0,       0.0,       0.0,    1000.0,    1000.0,       0.0,       0.0,    1000.0,       0.0,       0.0,       0.0,   -1000.0,
 350, CPS         ,   162,    60,      50.5,      62.4,     101.8,    5761.7,    5761.7,       0.0,       0.0,       0.0,       0.0,      41.2,   -5752.4,   -5752.4,
 351, CPS_GENS    ,    10,    56,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      25.9,     -25.9,     -25.9,
 393, TNC_LCRA    ,    17,    20,       6.1,       7.5,       7.5,       7.9,       7.9,       0.0,      10.7,       0.0,       0.0,       1.5,     -14.0,      -3.3,
 394, NHVDC       ,     3,     1,     219.8,     220.0,     220.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      -0.0,     219.8,     219.8,
 424, TRENT       ,     6,     2,       0.0,       0.0,       0.0,       7.2,       7.2,       0.0,       8.8,       0.0,       0.0,       0.2,     -16.2,      -7.4,
 428, PUTNAM      ,    29,    19,       0.0,       0.0,       0.0,      78.0,      78.0,       0.0,      10.8,       2.0,       0.0,       1.2,     -88.0,     -79.2,
 432, ABILENE     ,    80,    28,       0.0,       0.0,      50.7,     521.6,     521.6,       0.0,      27.9,       2.3,       0.0,       9.7,    -556.9,    -531.3,
 434, PECOS       ,    42,    36,     180.8,     228.5,     238.4,     125.2,     125.2,       0.0,       0.0,       0.0,       0.0,      22.8,      32.8,      32.8,
 438, MCCAMEY     ,    91,    54,       0.0,       0.0,       0.0,     336.3,     336.3,       0.0,      33.7,      35.5,       0.0,       7.6,    -342.0,    -343.8,
 442, W CHLDRS    ,     8,     4,       0.0,       0.0,       0.0,      19.6,      19.6,       0.0,       0.0,       0.0,       0.0,       0.3,     -20.0,     -20.0,
 444, TUSCOLA     ,     7,     3,       0.0,       0.0,       0.0,      28.7,      28.7,       0.0,       9.4,       0.0,       0.0,       0.1,     -38.2,     -28.8,
 446, PADUCAH     ,    19,     9,       0.0,       0.0,       0.0,      17.0,      17.0,       0.0,       4.4,       0.0,       0.0,       0.4,     -21.8,     -17.3,
